COVERGROUP COVERAGE:
-----------------------------------------------------------------------------------------------
Covergroup                                             Metric       Goal    Status               
                                                                                              
-----------------------------------------------------------------------------------------------
 TYPE /coverage/alu_subscriber_in/inputs                87.5%        100    Uncovered            
    covered/total bins:                                   122        152                      
    missing/total bins:                                    30        152                      
    % Hit:                                              80.2%        100                      
    Coverpoint inputs::A                                81.2%        100    Uncovered            
        covered/total bins:                                52         64                      
        missing/total bins:                                12         64                      
        % Hit:                                          81.2%        100                      
        bin auto[0:67108863]                                3          1    Covered              
        bin auto[67108864:134217727]                        0          1    ZERO                 
        bin auto[134217728:201326591]                       1          1    Covered              
        bin auto[201326592:268435455]                       1          1    Covered              
        bin auto[268435456:335544319]                       1          1    Covered              
        bin auto[335544320:402653183]                       1          1    Covered              
        bin auto[402653184:469762047]                       3          1    Covered              
        bin auto[469762048:536870911]                       0          1    ZERO                 
        bin auto[536870912:603979775]                       1          1    Covered              
        bin auto[603979776:671088639]                       1          1    Covered              
        bin auto[671088640:738197503]                       3          1    Covered              
        bin auto[738197504:805306367]                       1          1    Covered              
        bin auto[805306368:872415231]                       0          1    ZERO                 
        bin auto[872415232:939524095]                       3          1    Covered              
        bin auto[939524096:1006632959]                      1          1    Covered              
        bin auto[1006632960:1073741823]                     3          1    Covered              
        bin auto[1073741824:1140850687]                     0          1    ZERO                 
        bin auto[1140850688:1207959551]                     0          1    ZERO                 
        bin auto[1207959552:1275068415]                     1          1    Covered              
        bin auto[1275068416:1342177279]                     0          1    ZERO                 
        bin auto[1342177280:1409286143]                     4          1    Covered              
        bin auto[1409286144:1476395007]                     2          1    Covered              
        bin auto[1476395008:1543503871]                     2          1    Covered              
        bin auto[1543503872:1610612735]                     1          1    Covered              
        bin auto[1610612736:1677721599]                     3          1    Covered              
        bin auto[1677721600:1744830463]                     0          1    ZERO                 
        bin auto[1744830464:1811939327]                     4          1    Covered              
        bin auto[1811939328:1879048191]                     1          1    Covered              
        bin auto[1879048192:1946157055]                     2          1    Covered              
        bin auto[1946157056:2013265919]                     2          1    Covered              
        bin auto[2013265920:2080374783]                     2          1    Covered              
        bin auto[2080374784:2147483647]                     2          1    Covered              
        bin auto[2147483648:2214592511]                     3          1    Covered              
        bin auto[2214592512:2281701375]                     2          1    Covered              
        bin auto[2281701376:2348810239]                     5          1    Covered              
        bin auto[2348810240:2415919103]                     1          1    Covered              
        bin auto[2415919104:2483027967]                     2          1    Covered              
        bin auto[2483027968:2550136831]                     2          1    Covered              
        bin auto[2550136832:2617245695]                     2          1    Covered              
        bin auto[2617245696:2684354559]                     1          1    Covered              
        bin auto[2684354560:2751463423]                     0          1    ZERO                 
        bin auto[2751463424:2818572287]                     1          1    Covered              
        bin auto[2818572288:2885681151]                     2          1    Covered              
        bin auto[2885681152:2952790015]                     1          1    Covered              
        bin auto[2952790016:3019898879]                     2          1    Covered              
        bin auto[3019898880:3087007743]                     0          1    ZERO                 
        bin auto[3087007744:3154116607]                     1          1    Covered              
        bin auto[3154116608:3221225471]                     3          1    Covered              
        bin auto[3221225472:3288334335]                     2          1    Covered              
        bin auto[3288334336:3355443199]                     2          1    Covered              
        bin auto[3355443200:3422552063]                     1          1    Covered              
